Source,Element,Concentration mg/L,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
https://doi.org/10.1016/j.cep.2006.11.015,Fe,8.0,35.0,40,,,
https://doi.org/10.1016/j.cep.2006.11.015,Mg,260.0,290.0,304,,,
https://doi.org/10.1016/j.cep.2006.11.015,Mn,40.0,82.0,90,,,
https://doi.org/10.1016/j.cep.2006.11.015,Pb,0.2,0.5,0.1,,,
https://doi.org/10.1016/j.cep.2006.11.015,SO4,4200.0,4400.0,4000,,,
https://doi.org/10.1016/j.cep.2006.11.015,TDS,5018.2,5369.5,5005.1,,,
https://doi.org/10.1007/s11771-014-2085-2,pH,11.1,,,,,
https://doi.org/10.1007/s11771-014-2085-2,Pb,60.2,,,,,
https://doi.org/10.1007/s11771-014-2085-2,Zn,1.2,,,,,
https://doi.org/10.1007/s11771-014-2085-2,Cu,3.2,,,,,
https://doi.org/10.1007/s11771-014-2085-2,Fe,2.23,,,,,
https://doi.org/10.1007/s11771-014-2085-2,TIN,1.45,,,,,
https://doi.org/10.1007/s11771-014-2085-2,Cl,221.0,,,,,
https://doi.org/10.1007/s11771-014-2085-2,TIC,66.0,,,,,
https://doi.org/10.1007/s11771-014-2085-2,SO4,1355.0,,,,,
https://doi.org/10.1007/s11771-014-2085-2,S,8.67,,,,,
https://doi.org/10.1007/s11771-014-2085-2,TOC,983.7333333333335,,,,,
https://doi.org/10.1007/s11771-014-2085-2,TDS,2713.7833333333338,,,,,
