Source,Element,Concentration (mg/L),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
https://pubmed.ncbi.nlm.nih.gov/26140412/,Cl,,,,,42000.0,17500.0,44700.0,60500.0,37100.0,6900.0,104.0,171.0,54600.0,554.0,12900.0,27.3,7190.0,10120.0,6800.0,6220.0,89100.0,13200.0,13200.0,54900.0,76100.0,8766.9,25741.1,39500.0,20500.0,68300.0,17261.6,5992.9,16670.1,20444.4,8090.0,41955.0,25300.0,22800.0,4225.0,10250.0,9800.0,24250.0,10400.0,7800.0,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Cr,1.35,1.38,2.33,0.34,0.0073,0.0579,0.0621,0.0973,0.0771,0.0739,0.058,0.0581,0.0515,0.0528,0.0542,0.01,0.48,0.34,0.01,1.79,0.0107,2.1,2.1,0.0703,0.0556,0.0128,1.27,1.27,0.155,0.0581,0.0094,0.535,0.147,1.79,0.083,0.56,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Co,,2.46,3.04,4.14,0.06,0.03,0.583,0.0059,0.504,0.606,0.0508,0.0958,0.0374,1.69,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Cu,6.47,7.9,8.56,0.085,0.0449,0.04,0.0885,0.02,0.04,0.02,3.04,0.04,0.92,1.4,0.018,0.161,0.015,0.159,0.0109,3.07,0.02,3.06,0.056,0.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,CN,,,,0.02,0.11,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C6H12O,,,,,0.0064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C2H5OH,,,,,0.00763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C8H10,,,,,0.00885,0.0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C13H10,,,,,0.0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Ca/Mg,,,,,57200.0,23900.0,62100.0,51300.0,66500.0,57100.0,56400.0,69500.0,54900.0,73800.0,78800.0,71500.0,71300.0,78000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,CaCO3,,,,,1400.0,16900.0,46000.0,20900.0,154.0,96400.0,60800.0,5700.0,52.0,1000.0,1250.0,70.0,210.0,68066.0,45000.0,580.0,580.0,1801.0,8973.0,4993.0,18930.0,3703.0,4341.0,14149.0,3400.0,640.0,1056.0,1468.0,4433.0,1711.0,4040.0,2620.0,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,CaCO3,,,,,11600.0,56.5,333.0,16100.0,27600.0,10800.0,4190.0,22500.0,1170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Fe,,,90.3,18.3,30.0,87.5,82.3,72.3,64.9,84.3,82.4,36.2,93.5,116.0,90.3,0.53,27.6,74.5,30.7,26.0,0.054,127.0,81.7,7.67,10.7,2.19,1.6,1.9,95.8,72.6,112.0,30.8,0.491,0.491,130.0,134.0,1.0,8.9,15.0,13.0,29.3,4.1,22.5,3.6,8.4,11.2,7.3,0.262,0.1,0.01,0.5,0.39,0.07,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Fe,,2.34,7.52,14.9,37.4,94.0,27.4,108.0,112.0,81.6,114.0,86.6,82.5,96.5,94.7,107.0,104.0,4.24,35.2,77.2,43.2,35.0,0.0732,114.0,13.829,280.0,107.0,768.0,22.9,7.25,177.0,13.0,244.0,7.8,110.0,109.9,145.0,30.8,1.0,1.0,120.0,137.0,1.4,10.4,16.9,24.1,47.3,6.2,30.7,4.5,9.2,15.7,10.2,319.0,3.15,1.1,8.7,811.8,14.8,11.4,690.2
https://pubmed.ncbi.nlm.nih.gov/26140412/,C3H8O,,,,,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Pb,,,,,0.0047,0.13,0.015,0.011,0.31,0.22,8.68,6.6,0.83,0.014,0.0145,0.0145,0.0044,0.0156,38.9,0.0262,0.105,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Li,,,,,59.3,158.0,164.0,167.0,128.0,156.0,137.0,148.0,169.0,116.0,178.0,179.0,185.0,1.21,53.6,115.0,65.2,145.0,134.0,1.62,38.7,0.03,13.8,12.7,149.0,134.7,229.0,75.6,0.242,0.242,77.3,44.4,42.6,36.1,81.5,68.2,14.5,10.3,12.4,0.501,1.57,3.89,3.08,0.182,1.66,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Mg,,,,71.0,234.0,1910.0,745.0,1900.0,1910.0,2010.0,1920.0,1680.0,1910.0,1640.0,1980.0,2000.0,1940.0,27.6,384.0,1100.0,453.0,72.0,3.57,4.283,1940.0,1190.0,23.2,74.4,2.75,66.2,90.5,6.9,1850.0,1789.5,2010.0,1120.0,15.1,15.1,533.0,1069.0,67.2,284.9,234.0,152.0,587.0,137.8,575.0,143.1,164.7,41.5,489.3,0.961,11.3,24.0,55.0,394.4,35.0,272.0,142.5,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Mn,,,,51.0,4.02,7.28,2.99,15.0,9.18,11.0,9.2,10.3,12.6,11.8,15.4,17.0,20.5,3.11,2.81,8.19,2.89,51.0,0.0825,0.323,72.8,1.85,17.4,0.81,0.22,8.8,0.62,6.1,0.2,9.76,13.7,18.4,3.34,4.76,4.76,2.98,6.81,0.9,3.2,0.978,0.971,1.82,0.6,3.4,1.2,1.1,0.593,3.6,62.9,1.03,0.17,0.15,38.22,0.52,16.4,9.96,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Hg,,,,,0.0124,0.005,0.0017,4.2e-05,4.2e-05,0.0012,0.0012,0.001,0.00019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,MBAS,,,,,0.0856,0.364,0.216,0.037,0.04,0.03,0.049,0.064,0.061,0.037,0.032,0.028,0.066,0.087,3.48,0.2,0.06,0.16,0.07,0.085,1.62,0.81,0.212,1.33,0.336,0.199,1.156,0.209,8.2,7.72,1.58,1.238,2730.0,1.27,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Mo,,2.13,2.2,5.06,0.015,0.017,0.44,1.06,1.98,0.011,0.0279,0.0374,0.203,0.0089,0.0512,0.153,0.0794,0.515,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C10H8,,,,,0.00037,0.0194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Ni,3.06,3.19,4.78,0.08,0.0126,0.309,0.223,0.237,0.32,0.226,0.27,0.25,0.216,0.03,0.11,0.022,0.14,0.01,2.82,0.01,0.214,0.0239,0.0239,0.17,0.0271,0.67,0.0188,2.98,0.203,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,TIN,,247.0,4.0,397.0,0.15,0.23,0.14,0.19,0.32,0.96,0.29,0.13,0.22,0.42,0.38,0.15,0.21,0.13,0.32,0.31,0.89,0.87,0.2,0.28,2.93,4.24,27.8,32.0,24.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,O&G,,,,,48.6,7.0,63.0,5.4,19.0,7.0,75.3,63.9,19.5,19.5,0.53,9.8,3.02,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C8H10,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,pH,,7.98,7.06,6.54,6.1,6.7,6.0,6.1,6.0,6.1,6.0,5.9,6.2,6.1,6.0,5.8,6.8,5.4,5.2,5.4,6.19,6.1,5.6,11.42,5.8,6.41,10.2,7.29,6.97,8.28,7.35,7.21,7.42,7.86,6.3,5.54,6.1,6.2,7.1,7.1,6.6,6.4,7.67,7.06,7.0,7.3,6.8,7.05,6.68,7.26,6.95,7.4,6.7,7.7,6.52,9.6,9.5,7.75,7.51,10.1,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C14H10,,,,,0.00032,0.0048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C6H5OH,,,,,0.00082,0.027,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Phenolics,0.045,0.024,0.024,39.0,0.0095,0.24,0.37,0.1,0.12,0.28,0.38,0.2,0.015,0.1,0.06,0.91,0.37,0.012,0.053,0.051,0.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,P,,,0.977,640.0,1281.0,0.618,0.037,2695.0,4.3,8.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,K,,,,,152.0,590.0,752.0,133.0,442.0,28.6,0.1,1460.0,495.5,1.6,406.0,5030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Ra-226,,,,,271.0,454.72,192.31,216.99,189.95,236.79,255.62,153.53,198.17,146.92,1903.35,87.51,0.0672,0.22,892.0,561.7,1.28,152.2,11.01,9.96,4.1,2.68,321.94,1288.0,100.78,1042.0,1626.0,78.17,103.0,554.0,1037.0,35.86,228.9,66.83,67.2,1.73,11.5,8.93,2.13,11.5,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Ra-226/Ra-228,,,,,763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Ra-228,,,,,16.85,39.53,86.85,76.48,85.57,64.58,109.73,71.3,101.12,97.5,94.64,101.12,2.03,33.19,2589.0,648.0,8.89,42.46,40.15,18.78,33.05,105.8,188.64,298.0,350.0,23.08,32.1,5.46,515.0,2.74,56.48,1.4,7.45,1.43,13.3,5.68,0.283,13.6,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Se,,,,,0.0652,0.0107,0.0043,0.0069,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
