Source,Element,Concentration mg/L,Unnamed: 4,Unnamed: 5,Unnamed: 6
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0000086,Zn,0.0888272584950493,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_GA0050259,Zn,0.08804780188169874,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0032751,Zn,0.0880010750246205,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0000574,Zn,0.06539870963537527,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_WA0025721,Zn,0.05677405282364318,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_VAG250136,Zn,0.0486306785789553,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0050571,Zn,0.03680314817980136,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CA0081809,Zn,0.03412527129856711,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MN0046981,Zn,0.033530125650171015,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_NM0022306,Zn,0.01216227561531031,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0053341,Zn,0.0036845639916365347,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AR0000523,V,2504.27322689272,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0022756,U,7.290294708673672,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_WA0025721,U,0.4348989591525242,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0038334,U,0.24437015454672512,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0024562,U,0.1928954940794253,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_NM0022306,U,0.1418358622087053,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0045675,U,0.06302241267780881,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0001244,U,0.05020164160988074,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0038954,U,0.003158047591373619,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CA0085332,TSS,2649.339094609543,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_TN0029157,TSS,1847.1230823164503,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AR0000523,TSS,948.9476572153674,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0048119,TSS,739.8623747731175,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0001121,TSS,589.6241025993145,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0037206,TSS,464.41217338366647,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_UT0000051,TSS,408.8699471244065,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0024562,TSS,401.0653373094119,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0098752,TSS,384.4661141122164,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0046931,TSS,314.99724419379595,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MN0055948,TSS,261.99668887164205,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AZ0020401,TSS,209.31818558230808,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0043168,TSS,208.97291869476942,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0000175,TSS,181.1627695172884,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SD0025852,TSS,174.9765718704258,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SC0040479,TSS,150.25921576368512,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MN0031879,TSS,128.1996919988097,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MN0046981,TSS,120.23682473510071,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0046540,TSS,117.39746149331357,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_IDG910006,TSS,103.41589251465685,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0028321,TSS,100.22221818260945,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_VA0092436,TSS,99.75425176834287,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0000167,TSS,94.42330673321794,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_FL0435490,TSS,85.21490149354476,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_VA0090981,TSS,83.32510544384648,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0049514,TSS,79.43471091567146,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_TN0004227,TSS,79.11676587651168,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_FL0040274,TSS,77.51320163790815,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0000027,TSS,73.50153384161287,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_WA0025721,TSS,57.76363908986537,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0006114,TSS,52.10723022243595,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0000574,TSS,45.064431537385595,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0000094,TSS,41.84950800620614,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_FL0000051,TSS,41.71372279118848,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0000086,TSS,40.83752787455692,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0050571,TSS,37.75856478557001,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0058649,TSS,37.166514027173,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_TN0027677,TSS,33.78651786327114,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0038369,TSS,33.506743845599004,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0001881,TSS,32.77832485155898,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_FL0000035,TSS,32.41008790910779,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_OR0033812,TSS,31.815747616133212,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SD0026883,TSS,31.63705124810054,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0035394,TSS,30.992557145992084,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_GA0050259,TSS,30.477996030369738,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_TN0001732,TSS,30.20483026692272,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0041467,TSS,29.597012120757757,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_NV0022268,TSS,29.086862887277057,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0022756,TSS,28.1679625511005,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_GA0050250,TSS,27.09935611128937,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0025429,TSS,26.98343263351098,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0038334,TSS,25.729011424580253,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_TN0001759,TSS,24.970196886763922,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_NM0022306,TSS,24.68638609516369,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MT0026808,TSS,18.782675112321687,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0038652,TSS,17.51495911516553,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SD0026905,TSS,16.732543204400702,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SC0041378,TSS,10.6303357543619,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0001856,TSS,10.500640570405261,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_TN0057029,TSS,8.50098367973484,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0026468,TSS,7.43259394901059,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0001244,TSS,4.379333280761925,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_TN0064289,TSS,4.143902085254959,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0002003,TSS,2.0503576342934875,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0006114,TOC,40.24852222677687,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CA0085332,TOC,2.0963131229464307,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0026468,TOC,1.6254759808484396,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0001121,Tl,0.05390175868490651,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0000574,Tl,0.006014265199153965,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SC0040479,Tl,0.005932724640581355,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_NV0022268,Tl,0.0033868528920462395,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0048119,TDS,437718.3649198709,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_UT0000051,TDS,306424.1421304566,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0046931,TDS,74123.38600075385,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SD0025933,TDS,48939.346567575376,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AR0000582,TDS,32687.60505945081,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SD0026883,TDS,24739.544160418496,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_NY0001791,TDS,17427.410015681093,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MI0038369,TDS,15413.646352416943,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_COR040284,TDS,12908.709421854996,,,
