Source,Element,Concentration (mg/L),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
https://doi.org/10.1016/j.cej.2009.03.023,Cr,9.67,,,,,
https://doi.org/10.1016/j.cej.2009.03.023,Fe,14.4,,,,,
https://doi.org/10.1016/j.cej.2009.03.023,P,16.4,,,,,
https://doi.org/10.1016/j.cej.2009.03.023,TIN,28.7,,,,,
https://doi.org/10.1016/j.cej.2009.03.023,SO4,311.0,,,,,
https://doi.org/10.1016/j.cej.2009.03.023,COD,513.0,,,,,
https://doi.org/10.1016/j.cej.2009.03.023,Cl,1383.0,,,,,
https://doi.org/10.1016/j.cej.2009.03.023,TDS,5251.0,,,,,
https://www.sciencedirect.com/science/article/pii/S1385894709001739,pH,3.4,,,,,
https://www.sciencedirect.com/science/article/pii/S1385894709001739,COD,4335.0,,,,,
https://www.sciencedirect.com/science/article/pii/S1385894709001739,TDS,92000.0,,,,,
https://doi.org/10.3329/bjsr.v29i1.29755,Zn,0.256,,,,,
https://doi.org/10.3329/bjsr.v29i1.29755,Cu,0.27,,,,,
https://doi.org/10.14233/ajchem.2013.15909A,pH,12.9,,,,,
https://doi.org/10.14233/ajchem.2013.15909A,K,44.83,,,,,
https://doi.org/10.14233/ajchem.2013.15909A,Cl,63.91,,,,,
https://doi.org/10.14233/ajchem.2013.15909A,COD,225.084,,,,,
https://doi.org/10.14233/ajchem.2013.15909A,Na,697.6,,,,,
https://doi.org/10.3329/bjsr.v29i1.29755,pH,7.28,,,,,
https://doi.org/10.3329/bjsr.v29i1.29755,TDS,23640.0,,,,,
https://doi.org/10.3329/bjsr.v29i1.29755,COD,9600.0,,,,,
https://doi.org/10.3329/bjsr.v29i1.29755,Cl,1500.0,,,,,
https://doi.org/10.3329/bjsr.v29i1.29755,Fe,26.8,,,,,
https://doi.org/10.3329/jesnr.v7i1.22180,pH,8.11,,,,,
https://doi.org/10.3329/jesnr.v7i1.22180,pH,8.35,,,,,
https://doi.org/10.3329/jesnr.v7i1.22180,TDS,6955.0,,,,,
https://doi.org/10.3329/jesnr.v7i1.22180,TDS,7285.0,,,,,
https://doi.org/10.3329/jesnr.v7i1.22180,TDS,7120.0,,,,,
https://doi.org/10.3329/jesnr.v7i1.22180,COD,1343.0,,,,,
https://doi.org/10.3329/jesnr.v7i1.22180,K,973.0,,,,,
https://doi.org/10.3329/jesnr.v7i1.22180,Fe,3.41,,,,,
https://doi.org/10.3329/jesnr.v7i1.22180,Cu,0.09,,,,,
https://doi.org/10.3329/jesnr.v7i1.22180,Zn,2.3,,,,,
https://doi.org/10.3329/jesnr.v7i1.22180,Mn,0.17,,,,,
https://doi.org/10.3329/jesnr.v7i1.22180,Pb,0.02,,,,,
https://doi.org/10.1016/j.mrrev.2004.08.003,pH,8.25,,,,,
https://doi.org/10.1016/j.mrrev.2004.08.003,TDS,5884.0,,,,,
https://doi.org/10.1016/j.mrrev.2004.08.003,TDS,12754.0,,,,,
https://doi.org/10.1016/j.mrrev.2004.08.003,TDS,9319.0,,,,,
https://doi.org/10.1016/j.mrrev.2004.08.003,COD,7110.0,,,,,
https://www.textilepact.net/wp-content/uploads/2019/12/an_analysis_of_industrial_water.pdf,Cd,0.0056,,,,,
https://www.textilepact.net/wp-content/uploads/2019/12/an_analysis_of_industrial_water.pdf,Cu,0.147,,,,,
https://www.textilepact.net/wp-content/uploads/2019/12/an_analysis_of_industrial_water.pdf,Zn,0.378,,,,,
https://www.textilepact.net/wp-content/uploads/2019/12/an_analysis_of_industrial_water.pdf,Cr,0.744,,,,,
https://www.textilepact.net/wp-content/uploads/2019/12/an_analysis_of_industrial_water.pdf,Mg,3.0,,,,,
https://www.textilepact.net/wp-content/uploads/2019/12/an_analysis_of_industrial_water.pdf,pH,6.93,,,,,
https://www.textilepact.net/wp-content/uploads/2019/12/an_analysis_of_industrial_water.pdf,Ca,14.0,,,,,
https://www.textilepact.net/wp-content/uploads/2019/12/an_analysis_of_industrial_water.pdf,Na,40.0,,,,,
https://www.textilepact.net/wp-content/uploads/2019/12/an_analysis_of_industrial_water.pdf,TDS,734.0,,,,,
https://www.textilepact.net/wp-content/uploads/2019/12/an_analysis_of_industrial_water.pdf,Cl,976.25,,,,,
https://www.textilepact.net/wp-content/uploads/2019/12/an_analysis_of_industrial_water.pdf,K,1125.0,,,,,
https://www.textilepact.net/wp-content/uploads/2019/12/an_analysis_of_industrial_water.pdf,COD,1630.944,,,,,
https://www.textilepact.net/wp-content/uploads/2019/12/an_analysis_of_industrial_water.pdf,TIN,2198.57,,,,,
https://www.trjfas.org/abstract.php?id=319,pH,7.73,,,,,
https://www.trjfas.org/abstract.php?id=319,pH,8.01,,,,,
https://www.trjfas.org/abstract.php?id=319,TDS,7007.0,,,,,
https://www.trjfas.org/abstract.php?id=319,TDS,7349.0,,,,,
https://www.trjfas.org/abstract.php?id=319,TDS,7178.0,,,,,
https://www.trjfas.org/abstract.php?id=319,Fe,25.3,,,,,
https://www.trjfas.org/abstract.php?id=319,Cu,1.5,,,,,
https://www.trjfas.org/abstract.php?id=319,Cr,0.36,,,,,
https://www.trjfas.org/abstract.php?id=319,Cd,0.2,,,,,
https://doi.org/10.1007/s11814-016-0351-8,pH,7.31,,,,,
https://doi.org/10.1007/s11814-016-0351-8,TDS,2700.0,,,,,
https://doi.org/10.1007/s11814-016-0351-8,COD,2240.0,,,,,
